From_ID,To_ID,Distance_miles
4,16,3.585
32,50,2.545
18,31,7.297
24,46,4.47
23,26,8.223
15,47,6.984
25,37,4.36
1,44,9.467
1,39,6.147
8,35,6.468
12,37,4.062
5,18,7.199
7,51,5.09
20,41,5.354
42,47,6.362
21,43,6.674
6,48,6.473
9,50,5.641
30,36,3.595
13,34,12.832
5,9,3.53
3,28,10.031
45,48,9.823
19,39,9.284
25,51,3.682
36,38,5.76
7,35,3.247
25,46,4.281
29,52,6.458
25,26,12.531
13,37,4.512
11,44,11.128
21,28,3.117
18,26,15.381
1,15,4.861
43,45,7.644
1,29,8.0
3,22,6.775
16,17,3.531
11,33,4.367
10,47,3.688
2,9,7.573
19,36,11.125
7,32,3.625
4,10,5.9
1,46,6.61
3,50,9.559
19,30,9.32
31,46,3.985
21,49,7.031
8,17,4.72
20,26,7.009
5,47,6.982
17,34,3.628
21,31,4.874
14,35,2.514
36,44,6.19
6,8,7.471
26,38,10.228
2,18,8.871
17,50,3.432
26,35,9.437
27,51,7.761
28,31,7.971
9,35,3.195
45,47,9.894
7,37,6.559
4,42,4.23
6,11,8.042
6,34,6.337
40,41,2.981
6,40,2.844
11,46,4.42
34,47,2.403
48,50,6.952
1,19,7.963
25,44,5.692
35,37,3.373
5,43,5.283
5,25,8.95
18,21,11.232
36,49,5.187
20,36,4.802
17,28,9.349
4,51,2.477
28,52,10.507
14,18,8.994
12,21,4.339
17,37,4.826
10,46,4.868
38,44,4.717
11,52,11.219
12,22,4.576
3,20,5.737
9,33,3.761
23,28,7.012
8,45,11.498
5,10,10.669
16,32,2.911
19,34,3.636
13,16,5.719
33,39,2.694
6,43,3.143
11,49,6.527
3,19,13.464
7,30,3.568
10,30,8.559
30,45,4.657
13,14,5.18
3,15,4.221
9,32,3.165
29,42,2.776
29,34,7.792
27,52,9.134
2,42,5.847
12,14,5.453
38,40,3.389
24,49,2.974
20,29,2.506
14,22,2.516
44,52,7.243
13,20,3.292
2,27,8.425
13,33,9.635
7,10,8.166
40,45,6.355
27,41,5.576
23,50,3.852
39,49,2.643
23,40,3.218
23,48,6.9
12,16,4.641
29,30,3.065
24,27,7.774
31,52,3.564
31,49,2.604
24,38,2.88
12,48,8.413
27,32,5.492
4,22,2.992
16,48,7.243
23,43,3.667
24,40,2.684
8,43,4.388
41,51,2.437
15,39,2.957
2,38,3.42
8,14,8.982
24,33,4.504
2,33,4.069
